gamePk,date,home,away,shots_ev_home,shots_pp_home,shots_pk_home,shots_ev_away,shots_pp_away,shots_pk_away,goals_ev_home,goals_pp_home,goals_pk_home,goals_ev_away,goals_pp_away,goals_pk_away,blocks_ev_home,blocks_pp_home,blocks_pk_home,blocks_ev_away,blocks_pp_away,blocks_pk_away,saves_ev_home,saves_pp_home,saves_pk_home,saves_ev_away,saves_pp_away,saves_pk_away
2025020830,2026-01-27,Boston Bruins,Nashville Predators,23,6,2,22,0,4,2,0,0,3,0,0,7,0,0,5,0,1,19,0,4,21,6,2
2025020831,2026-01-27,Toronto Maple Leafs,Buffalo Sabres,24,8,6,20,5,2,1,0,1,3,1,0,7,1,1,3,1,1,17,4,2,23,8,5
2025020832,2026-01-27,Montréal Canadiens,Vegas Golden Knights,13,13,3,17,6,3,3,1,0,0,0,1,3,1,3,1,0,2,17,6,2,10,12,3
2025020833,2026-01-27,Detroit Red Wings,Los Angeles Kings,19,2,2,27,8,3,3,0,0,2,1,0,5,0,0,5,0,1,25,7,3,16,2,2
2025020834,2026-01-27,Florida Panthers,Utah Mammoth,23,10,5,32,2,4,2,1,0,1,1,0,2,3,0,6,2,4,31,1,4,21,9,5
2025020835,2026-01-27,New Jersey Devils,Winnipeg Jets,24,3,4,22,10,3,2,2,0,3,1,0,2,0,3,3,0,1,19,9,3,22,1,4
2025020836,2026-01-27,St. Louis Blues,Dallas Stars,13,10,0,28,0,6,1,2,0,4,0,0,5,1,0,1,0,2,24,0,6,12,8,0
2025020837,2026-01-27,Minnesota Wild,Chicago Blackhawks,20,3,6,18,11,2,0,1,0,1,1,0,3,0,5,4,3,0,17,10,2,20,2,6
2025020838,2026-01-27,Vancouver Canucks,San Jose Sharks,21,9,1,17,6,1,1,0,0,1,1,0,1,0,4,8,0,0,16,5,1,20,9,1
2025020839,2026-01-27,Seattle Kraken,Washington Capitals,24,2,2,23,1,1,0,0,0,2,1,0,6,0,0,8,1,0,21,0,1,24,2,2
