team,player_id,period,player,game_home,game_away,date,shots,goals,assists,points,blocks,saves,toi_sec
New York Islanders,8475151,1,Kyle Palmieri,New York Islanders,New York Rangers,2026-01-28,0.0,0.0,0.054,0.054,0.0,0.0,60.0
New York Islanders,8475151,2,Kyle Palmieri,New York Islanders,New York Rangers,2026-01-28,0.0,0.0,0.0624,0.0624,0.0,0.0,60.0
New York Islanders,8475151,3,Kyle Palmieri,New York Islanders,New York Rangers,2026-01-28,0.0,0.0,0.0618,0.0618,0.0,0.0,60.0
New York Islanders,8475231,1,Casey Cizikas,New York Islanders,New York Rangers,2026-01-28,1.0376,0.0996,0.0614,0.161,0.0,0.0,600.0
New York Islanders,8475231,2,Casey Cizikas,New York Islanders,New York Rangers,2026-01-28,1.054,0.1008,0.0554,0.1562,0.0,0.0,600.0
New York Islanders,8475231,3,Casey Cizikas,New York Islanders,New York Rangers,2026-01-28,1.033,0.0994,0.0568,0.1562,0.0,0.0,600.0
New York Islanders,8475231,4,Casey Cizikas,New York Islanders,New York Rangers,2026-01-28,0.0424,0.003,0.0,0.003,0.0,0.0,15.8775
New York Islanders,8475314,1,Anders Lee,New York Islanders,New York Rangers,2026-01-28,1.0298,0.1,0.0548,0.1548,0.0,0.0,600.0
New York Islanders,8475314,2,Anders Lee,New York Islanders,New York Rangers,2026-01-28,1.0472,0.1072,0.054,0.1612,0.0,0.0,600.0
New York Islanders,8475314,3,Anders Lee,New York Islanders,New York Rangers,2026-01-28,1.0826,0.1134,0.0574,0.1708,0.0,0.0,600.0
New York Islanders,8475314,4,Anders Lee,New York Islanders,New York Rangers,2026-01-28,0.0012,0.0,0.0,0.0,0.0,0.0,1.1775
New York Islanders,8476292,1,Ondrej Palat,New York Islanders,New York Rangers,2026-01-28,0.0,0.0,0.066,0.066,0.0,0.0,60.0
New York Islanders,8476292,2,Ondrej Palat,New York Islanders,New York Rangers,2026-01-28,0.0,0.0,0.06,0.06,0.0,0.0,60.0
New York Islanders,8476292,3,Ondrej Palat,New York Islanders,New York Rangers,2026-01-28,0.0,0.0,0.0662,0.0662,0.0,0.0,60.0
New York Islanders,8476292,4,Ondrej Palat,New York Islanders,New York Rangers,2026-01-28,0.0038,0.0004,0.0,0.0004,0.0,0.0,1.425
New York Islanders,8476419,1,Jean-Gabriel Pageau,New York Islanders,New York Rangers,2026-01-28,0.0,0.0,0.065,0.065,0.0,0.0,60.0
New York Islanders,8476419,2,Jean-Gabriel Pageau,New York Islanders,New York Rangers,2026-01-28,0.0,0.0,0.0628,0.0628,0.0,0.0,60.0
New York Islanders,8476419,3,Jean-Gabriel Pageau,New York Islanders,New York Rangers,2026-01-28,0.0,0.0,0.0612,0.0612,0.0,0.0,60.0
New York Islanders,8476419,4,Jean-Gabriel Pageau,New York Islanders,New York Rangers,2026-01-28,0.036,0.004,0.0,0.004,0.0,0.0,13.0425
New York Islanders,8476429,1,Scott Mayfield,New York Islanders,New York Rangers,2026-01-28,0.5058,0.0516,0.0522,0.1038,0.4162,0.0,300.0
New York Islanders,8476429,2,Scott Mayfield,New York Islanders,New York Rangers,2026-01-28,0.5312,0.0496,0.054,0.1036,0.4234,0.0,300.0
New York Islanders,8476429,3,Scott Mayfield,New York Islanders,New York Rangers,2026-01-28,0.5174,0.0534,0.0606,0.114,0.3992,0.0,300.0
New York Islanders,8476429,4,Scott Mayfield,New York Islanders,New York Rangers,2026-01-28,0.0074,0.0006,0.0,0.0006,0.0132,0.0,2.9775
New York Islanders,8476917,1,Adam Pelech,New York Islanders,New York Rangers,2026-01-28,0.515,0.0514,0.056,0.1074,0.4312,0.0,300.0
New York Islanders,8476917,2,Adam Pelech,New York Islanders,New York Rangers,2026-01-28,0.5228,0.049,0.056,0.10500000000000001,0.4276,0.0,300.0
New York Islanders,8476917,3,Adam Pelech,New York Islanders,New York Rangers,2026-01-28,0.5234,0.046,0.0686,0.1146,0.4174,0.0,300.0
New York Islanders,8476917,4,Adam Pelech,New York Islanders,New York Rangers,2026-01-28,0.0006,0.0,0.0,0.0,0.0124,0.0,0.3225
New York Islanders,8477369,1,Carson Soucy,New York Islanders,New York Rangers,2026-01-28,0.0,0.0,0.0618,0.0618,0.0,0.0,60.0
New York Islanders,8477369,2,Carson Soucy,New York Islanders,New York Rangers,2026-01-28,0.0,0.0,0.0678,0.0678,0.0,0.0,60.0
New York Islanders,8477369,3,Carson Soucy,New York Islanders,New York Rangers,2026-01-28,0.0,0.0,0.0652,0.0652,0.0,0.0,60.0
New York Islanders,8477407,1,Anthony Duclair,New York Islanders,New York Rangers,2026-01-28,0.0,0.0,0.0602,0.0602,0.0,0.0,60.0
New York Islanders,8477407,2,Anthony Duclair,New York Islanders,New York Rangers,2026-01-28,0.0,0.0,0.0664,0.0664,0.0,0.0,60.0
New York Islanders,8477407,3,Anthony Duclair,New York Islanders,New York Rangers,2026-01-28,0.0,0.0,0.069,0.069,0.0,0.0,60.0
New York Islanders,8477407,4,Anthony Duclair,New York Islanders,New York Rangers,2026-01-28,0.0366,0.0026,0.0,0.0026,0.0,0.0,12.1875
New York Islanders,8477494,1,Jonathan Drouin,New York Islanders,New York Rangers,2026-01-28,1.0548,0.1,0.057,0.157,0.0,0.0,600.0
New York Islanders,8477494,2,Jonathan Drouin,New York Islanders,New York Rangers,2026-01-28,1.05,0.102,0.0566,0.1586,0.0,0.0,600.0
New York Islanders,8477494,3,Jonathan Drouin,New York Islanders,New York Rangers,2026-01-28,1.0498,0.1006,0.057,0.1576,0.0,0.0,600.0
New York Islanders,8477494,4,Jonathan Drouin,New York Islanders,New York Rangers,2026-01-28,0.0034,0.0002,0.0,0.0002,0.0,0.0,1.635
New York Islanders,8477500,1,Bo Horvat,New York Islanders,New York Rangers,2026-01-28,1.0376,0.1024,0.0546,0.157,0.0,0.0,600.0
New York Islanders,8477500,2,Bo Horvat,New York Islanders,New York Rangers,2026-01-28,1.0388,0.0974,0.0532,0.1506,0.0,0.0,600.0
New York Islanders,8477500,3,Bo Horvat,New York Islanders,New York Rangers,2026-01-28,1.0806,0.1072,0.0568,0.164,0.0,0.0,600.0
New York Islanders,8477500,4,Bo Horvat,New York Islanders,New York Rangers,2026-01-28,0.03,0.0042,0.0,0.0042,0.0,0.0,12.2325
New York Islanders,8477506,1,Ryan Pulock,New York Islanders,New York Rangers,2026-01-28,0.7914,0.0794,0.0644,0.14379999999999998,0.287,0.0,450.0
New York Islanders,8477506,2,Ryan Pulock,New York Islanders,New York Rangers,2026-01-28,0.8006,0.075,0.0572,0.13219999999999998,0.2912,0.0,450.0
New York Islanders,8477506,3,Ryan Pulock,New York Islanders,New York Rangers,2026-01-28,0.8118,0.0786,0.062,0.1406,0.2784,0.0,450.0
New York Islanders,8477506,4,Ryan Pulock,New York Islanders,New York Rangers,2026-01-28,0.035,0.003,0.0,0.003,0.038,0.0,12.0
New York Islanders,8477950,1,Tony DeAngelo,New York Islanders,New York Rangers,2026-01-28,0.7844,0.071,0.0544,0.12539999999999998,0.4206,0.0,450.0
New York Islanders,8477950,2,Tony DeAngelo,New York Islanders,New York Rangers,2026-01-28,0.7768,0.073,0.0608,0.1338,0.4496,0.0,450.0
New York Islanders,8477950,3,Tony DeAngelo,New York Islanders,New York Rangers,2026-01-28,0.7834,0.0784,0.0602,0.1386,0.4292,0.0,450.0
New York Islanders,8477950,4,Tony DeAngelo,New York Islanders,New York Rangers,2026-01-28,0.0098,0.0016,0.0,0.0016,0.0042,0.0,3.765
New York Islanders,8478445,1,Mathew Barzal,New York Islanders,New York Rangers,2026-01-28,1.0342,0.1,0.0572,0.1572,0.0,0.0,600.0
New York Islanders,8478445,2,Mathew Barzal,New York Islanders,New York Rangers,2026-01-28,1.0688,0.0988,0.056,0.1548,0.0,0.0,600.0
New York Islanders,8478445,3,Mathew Barzal,New York Islanders,New York Rangers,2026-01-28,1.0412,0.11,0.0592,0.16920000000000002,0.0,0.0,600.0
New York Islanders,8478445,4,Mathew Barzal,New York Islanders,New York Rangers,2026-01-28,0.0432,0.0026,0.0,0.0026,0.0,0.0,15.8775
New York Islanders,8479496,1,David Rittich,New York Islanders,New York Rangers,2026-01-28,0.0,0.0,0.0,0.0,0.0,9.0422,1200.0
New York Islanders,8479496,2,David Rittich,New York Islanders,New York Rangers,2026-01-28,0.0,0.0,0.0,0.0,0.0,9.0898,1200.0
New York Islanders,8479496,3,David Rittich,New York Islanders,New York Rangers,2026-01-28,0.0,0.0,0.0,0.0,0.0,9.1708,1200.0
New York Islanders,8479496,4,David Rittich,New York Islanders,New York Rangers,2026-01-28,0.0,0.0,0.0,0.0,0.0,0.4,53.34
New York Islanders,8480871,1,Adam Boqvist,New York Islanders,New York Rangers,2026-01-28,0.7766,0.071,0.0666,0.1376,0.4186,0.0,450.0
New York Islanders,8480871,2,Adam Boqvist,New York Islanders,New York Rangers,2026-01-28,0.7768,0.0746,0.0506,0.1252,0.4306,0.0,450.0
New York Islanders,8480871,3,Adam Boqvist,New York Islanders,New York Rangers,2026-01-28,0.7738,0.0816,0.0622,0.1438,0.452,0.0,450.0
New York Islanders,8480871,4,Adam Boqvist,New York Islanders,New York Rangers,2026-01-28,0.105,0.007,0.0,0.007,0.0026,0.0,38.3625
New York Islanders,8481014,1,Alexander Romanov,New York Islanders,New York Rangers,2026-01-28,0.7786,0.0766,0.0492,0.1258,0.2842,0.0,450.0
New York Islanders,8481014,2,Alexander Romanov,New York Islanders,New York Rangers,2026-01-28,0.8088,0.0822,0.0602,0.1424,0.2816,0.0,450.0
New York Islanders,8481014,3,Alexander Romanov,New York Islanders,New York Rangers,2026-01-28,0.8264,0.081,0.0582,0.1392,0.2838,0.0,450.0
New York Islanders,8481014,4,Alexander Romanov,New York Islanders,New York Rangers,2026-01-28,0.004,0.0002,0.0,0.0002,0.0366,0.0,1.3425
New York Islanders,8481237,1,Kyle MacLean,New York Islanders,New York Rangers,2026-01-28,0.0,0.0,0.0594,0.0594,0.0,0.0,60.0
New York Islanders,8481237,2,Kyle MacLean,New York Islanders,New York Rangers,2026-01-28,0.0,0.0,0.0654,0.0654,0.0,0.0,60.0
New York Islanders,8481237,3,Kyle MacLean,New York Islanders,New York Rangers,2026-01-28,0.0,0.0,0.064,0.064,0.0,0.0,60.0
New York Islanders,8481237,4,Kyle MacLean,New York Islanders,New York Rangers,2026-01-28,0.0346,0.0044,0.0,0.0044,0.0,0.0,13.0425
New York Islanders,8481601,1,Simon Holmstrom,New York Islanders,New York Rangers,2026-01-28,1.0302,0.1098,0.0588,0.1686,0.0,0.0,600.0
New York Islanders,8481601,2,Simon Holmstrom,New York Islanders,New York Rangers,2026-01-28,1.0394,0.1012,0.0546,0.1558,0.0,0.0,600.0
New York Islanders,8481601,3,Simon Holmstrom,New York Islanders,New York Rangers,2026-01-28,1.0726,0.1062,0.0598,0.166,0.0,0.0,600.0
New York Islanders,8481601,4,Simon Holmstrom,New York Islanders,New York Rangers,2026-01-28,0.0354,0.0036,0.0,0.0036,0.0,0.0,12.2325
New York Islanders,8482476,1,Emil Heineman,New York Islanders,New York Rangers,2026-01-28,0.0,0.0,0.0694,0.0694,0.0,0.0,60.0
New York Islanders,8482476,2,Emil Heineman,New York Islanders,New York Rangers,2026-01-28,0.0,0.0,0.0584,0.0584,0.0,0.0,60.0
New York Islanders,8482476,3,Emil Heineman,New York Islanders,New York Rangers,2026-01-28,0.0,0.0,0.0676,0.0676,0.0,0.0,60.0
New York Islanders,8482476,4,Emil Heineman,New York Islanders,New York Rangers,2026-01-28,0.0014,0.0002,0.0,0.0002,0.0,0.0,1.1925
New York Islanders,8483553,1,Marc Gatcomb,New York Islanders,New York Rangers,2026-01-28,0.0,0.0,0.066,0.066,0.0,0.0,60.0
New York Islanders,8483553,2,Marc Gatcomb,New York Islanders,New York Rangers,2026-01-28,0.0,0.0,0.0618,0.0618,0.0,0.0,60.0
New York Islanders,8483553,3,Marc Gatcomb,New York Islanders,New York Rangers,2026-01-28,0.0,0.0,0.0658,0.0658,0.0,0.0,60.0
New York Islanders,8483553,4,Marc Gatcomb,New York Islanders,New York Rangers,2026-01-28,0.0342,0.003,0.0,0.003,0.0,0.0,12.1875
New York Islanders,8484221,1,Calum Ritchie,New York Islanders,New York Rangers,2026-01-28,0.0,0.0,0.0638,0.0638,0.0,0.0,60.0
New York Islanders,8484221,2,Calum Ritchie,New York Islanders,New York Rangers,2026-01-28,0.0,0.0,0.0594,0.0594,0.0,0.0,60.0
New York Islanders,8484221,3,Calum Ritchie,New York Islanders,New York Rangers,2026-01-28,0.0,0.0,0.0662,0.0662,0.0,0.0,60.0
New York Islanders,8485366,1,Matthew Schaefer,New York Islanders,New York Rangers,2026-01-28,0.0,0.0,0.0534,0.0534,0.0,0.0,60.0
New York Islanders,8485366,2,Matthew Schaefer,New York Islanders,New York Rangers,2026-01-28,0.0,0.0,0.0584,0.0584,0.0,0.0,60.0
New York Islanders,8485366,3,Matthew Schaefer,New York Islanders,New York Rangers,2026-01-28,0.0,0.0,0.0634,0.0634,0.0,0.0,60.0
New York Islanders,8485702,1,Max Shabanov,New York Islanders,New York Rangers,2026-01-28,0.0,0.0,0.0568,0.0568,0.0,0.0,60.0
New York Islanders,8485702,2,Max Shabanov,New York Islanders,New York Rangers,2026-01-28,0.0,0.0,0.0652,0.0652,0.0,0.0,60.0
New York Islanders,8485702,3,Max Shabanov,New York Islanders,New York Rangers,2026-01-28,0.0,0.0,0.0684,0.0684,0.0,0.0,60.0
New York Rangers,8475842,1,Sam Carrick,New York Islanders,New York Rangers,2026-01-28,1.0246,0.098,0.0632,0.1612,0.0,0.0,600.0
New York Rangers,8475842,2,Sam Carrick,New York Islanders,New York Rangers,2026-01-28,1.0326,0.102,0.0556,0.1576,0.0,0.0,600.0
New York Rangers,8475842,3,Sam Carrick,New York Islanders,New York Rangers,2026-01-28,1.0504,0.1078,0.0558,0.16360000000000002,0.0,0.0,600.0
New York Rangers,8475842,4,Sam Carrick,New York Islanders,New York Rangers,2026-01-28,0.0408,0.0044,0.0,0.0044,0.0,0.0,15.8775
New York Rangers,8476389,1,Vincent Trocheck,New York Islanders,New York Rangers,2026-01-28,0.0,0.0,0.0556,0.0556,0.0,0.0,60.0
New York Rangers,8476389,2,Vincent Trocheck,New York Islanders,New York Rangers,2026-01-28,0.0,0.0,0.0652,0.0652,0.0,0.0,60.0
New York Rangers,8476389,3,Vincent Trocheck,New York Islanders,New York Rangers,2026-01-28,0.0,0.0,0.0686,0.0686,0.0,0.0,60.0
New York Rangers,8476459,1,Mika Zibanejad,New York Islanders,New York Rangers,2026-01-28,0.0,0.0,0.0602,0.0602,0.0,0.0,60.0
New York Rangers,8476459,2,Mika Zibanejad,New York Islanders,New York Rangers,2026-01-28,0.0,0.0,0.0604,0.0604,0.0,0.0,60.0
New York Rangers,8476459,3,Mika Zibanejad,New York Islanders,New York Rangers,2026-01-28,0.0,0.0,0.0658,0.0658,0.0,0.0,60.0
New York Rangers,8476468,1,J.T. Miller,New York Islanders,New York Rangers,2026-01-28,1.0182,0.112,0.0524,0.1644,0.0,0.0,600.0
New York Rangers,8476468,2,J.T. Miller,New York Islanders,New York Rangers,2026-01-28,1.0126,0.1024,0.054,0.1564,0.0,0.0,600.0
New York Rangers,8476468,3,J.T. Miller,New York Islanders,New York Rangers,2026-01-28,1.0528,0.1164,0.063,0.1794,0.0,0.0,600.0
New York Rangers,8476468,4,J.T. Miller,New York Islanders,New York Rangers,2026-01-28,0.034,0.004,0.0,0.004,0.0,0.0,12.2325
New York Rangers,8477380,1,Jonny Brodzinski,New York Islanders,New York Rangers,2026-01-28,1.0526,0.1048,0.0572,0.162,0.0,0.0,600.0
New York Rangers,8477380,2,Jonny Brodzinski,New York Islanders,New York Rangers,2026-01-28,1.0422,0.099,0.0554,0.1544,0.0,0.0,600.0
New York Rangers,8477380,3,Jonny Brodzinski,New York Islanders,New York Rangers,2026-01-28,1.032,0.1074,0.0616,0.16899999999999998,0.0,0.0,600.0
New York Rangers,8477380,4,Jonny Brodzinski,New York Islanders,New York Rangers,2026-01-28,0.0448,0.0044,0.0,0.0044,0.0,0.0,15.8775
New York Rangers,8477484,1,Spencer Martin,New York Islanders,New York Rangers,2026-01-28,0.0,0.0,0.0,0.0,0.0,9.3632,1200.0
New York Rangers,8477484,2,Spencer Martin,New York Islanders,New York Rangers,2026-01-28,0.0,0.0,0.0,0.0,0.0,9.5044,1200.0
New York Rangers,8477484,3,Spencer Martin,New York Islanders,New York Rangers,2026-01-28,0.0,0.0,0.0,0.0,0.0,9.5402,1200.0
New York Rangers,8477484,4,Spencer Martin,New York Islanders,New York Rangers,2026-01-28,0.0,0.0,0.0,0.0,0.0,0.4234,53.34
New York Rangers,8477839,1,Conor Sheary,New York Islanders,New York Rangers,2026-01-28,0.0,0.0,0.0606,0.0606,0.0,0.0,60.0
New York Rangers,8477839,2,Conor Sheary,New York Islanders,New York Rangers,2026-01-28,0.0,0.0,0.062,0.062,0.0,0.0,60.0
New York Rangers,8477839,3,Conor Sheary,New York Islanders,New York Rangers,2026-01-28,0.0,0.0,0.0632,0.0632,0.0,0.0,60.0
New York Rangers,8478550,1,Artemi Panarin,New York Islanders,New York Rangers,2026-01-28,1.0342,0.1,0.0584,0.1584,0.0,0.0,600.0
New York Rangers,8478550,2,Artemi Panarin,New York Islanders,New York Rangers,2026-01-28,1.0322,0.101,0.0518,0.1528,0.0,0.0,600.0
New York Rangers,8478550,3,Artemi Panarin,New York Islanders,New York Rangers,2026-01-28,1.05,0.1054,0.0556,0.16099999999999998,0.0,0.0,600.0
New York Rangers,8478550,4,Artemi Panarin,New York Islanders,New York Rangers,2026-01-28,0.0012,0.0,0.0,0.0,0.0,0.0,1.1775
New York Rangers,8478840,1,Will Borgen,New York Islanders,New York Rangers,2026-01-28,0.7594,0.0784,0.06,0.1384,0.4448,0.0,450.0
New York Rangers,8478840,2,Will Borgen,New York Islanders,New York Rangers,2026-01-28,0.7864,0.0806,0.0548,0.13540000000000002,0.4228,0.0,450.0
New York Rangers,8478840,3,Will Borgen,New York Islanders,New York Rangers,2026-01-28,0.7732,0.0806,0.0594,0.14,0.4598,0.0,450.0
New York Rangers,8478840,4,Will Borgen,New York Islanders,New York Rangers,2026-01-28,0.1064,0.0104,0.0,0.0104,0.005,0.0,38.3625
New York Rangers,8478882,1,Vladislav Gavrikov,New York Islanders,New York Rangers,2026-01-28,0.5036,0.0544,0.065,0.1194,0.429,0.0,300.0
New York Rangers,8478882,2,Vladislav Gavrikov,New York Islanders,New York Rangers,2026-01-28,0.5214,0.0568,0.0586,0.1154,0.437,0.0,300.0
New York Rangers,8478882,3,Vladislav Gavrikov,New York Islanders,New York Rangers,2026-01-28,0.51,0.0514,0.0604,0.11180000000000001,0.4408,0.0,300.0
New York Rangers,8478882,4,Vladislav Gavrikov,New York Islanders,New York Rangers,2026-01-28,0.0082,0.001,0.0,0.001,0.0182,0.0,2.9775
New York Rangers,8479323,1,Adam Fox,New York Islanders,New York Rangers,2026-01-28,0.7098,0.0728,0.0538,0.1266,0.4514,0.0,404.13
New York Rangers,8479323,2,Adam Fox,New York Islanders,New York Rangers,2026-01-28,0.7114,0.08,0.058,0.138,0.4622,0.0,404.25
New York Rangers,8479323,3,Adam Fox,New York Islanders,New York Rangers,2026-01-28,0.6836,0.0676,0.0634,0.131,0.446,0.0,405.18
New York Rangers,8479323,4,Adam Fox,New York Islanders,New York Rangers,2026-01-28,0.0,0.0,0.0,0.0,0.0046,0.0,60.0
New York Rangers,8479390,1,Taylor Raddysh,New York Islanders,New York Rangers,2026-01-28,0.0,0.0,0.0582,0.0582,0.0,0.0,60.0
New York Rangers,8479390,2,Taylor Raddysh,New York Islanders,New York Rangers,2026-01-28,0.0,0.0,0.066,0.066,0.0,0.0,60.0
New York Rangers,8479390,3,Taylor Raddysh,New York Islanders,New York Rangers,2026-01-28,0.0,0.0,0.062,0.062,0.0,0.0,60.0
New York Rangers,8479390,4,Taylor Raddysh,New York Islanders,New York Rangers,2026-01-28,0.0322,0.0026,0.0,0.0026,0.0,0.0,13.0425
