date,player,team,opp,market,line,book,over_price,under_price,proj_lambda,p_over,side,ev,chosen_prob,source
2026-01-13,Anthony Cirelli,TBL,,GOALS,0.5,fanduel,330.0,-500.0,0.613,0.4174,Over,0.7946168467714121,,ev
2026-01-13,Tom Willander,VAN,,POINTS,0.5,pinnacle,231.0,-331.0,0.9,0.538,Over,0.7806,,ev
2026-01-13,Jack Roslovic,EDM,,ASSISTS,0.5,pinnacle,320.0,-525.0,0.543,0.4021,Over,0.6886314601887795,,ev
2026-01-13,Evander Kane,VAN,,SOG,2.5,fanduel,146.0,-192.0,3.875,0.6813,Over,0.6761144549472361,,ev
2026-01-13,Jack Roslovic,EDM,,ASSISTS,0.5,draftkings,300.0,-440.0,0.543,0.4021,Over,0.608220438275028,,ev
2026-01-13,Evander Kane,VAN,,SOG,2.5,draftkings,135.0,-175.0,3.875,0.6813,Over,0.6011662476121972,,ev
2026-01-13,Juraj Slafkovsky,MTL,,POINTS,0.5,pinnacle,-170.0,123.0,0.255,0.2842,Under,0.5962882080678817,,ev
2026-01-13,Evander Kane,VAN,,SOG,2.5,pinnacle,133.0,-178.0,3.875,0.6813,Over,0.5875393008240083,,ev
2026-01-13,Juraj Slafkovsky,MTL,,POINTS,0.5,draftkings,-154.0,120.0,0.255,0.2842,Under,0.5748134788113634,,ev
2026-01-13,Zach Hyman,EDM,,SOG,2.5,draftkings,-175.0,135.0,2.036,0.331,Under,0.572094802948824,,ev
2026-01-13,Brandon Hagel,TBL,,GOALS,0.5,fanduel,220.0,-310.0,0.743,0.486,Over,0.5551741611772485,,ev
2026-01-13,Zach Hyman,EDM,,SOG,2.5,fanduel,-174.0,132.0,2.036,0.331,Under,0.5520255075920306,,ev
2026-01-13,Jackson Blake,CAR,,ASSISTS,0.5,pinnacle,295.0,-445.0,0.517,0.3892,Over,0.5373123206385366,,ev
2026-01-13,Zach Hyman,EDM,,SOG,2.5,pinnacle,-175.0,129.0,2.036,0.331,Under,0.531956212235237,,ev
2026-01-13,Nikita Kucherov,TBL,,ASSISTS,0.5,pinnacle,-230.0,160.0,0.573,0.4161,Under,0.5181794538191046,,ev
2026-01-13,Leon Draisaitl,EDM,,ASSISTS,0.5,pinnacle,-230.0,168.0,0.612,0.4337,Under,0.5177015780016297,,ev
2026-01-13,Brayden Point,TBL,,POINTS,0.5,draftkings,-154.0,120.0,0.301,0.3107,Under,0.516404967190877,,ev
2026-01-13,Brayden Point,TBL,,POINTS,0.5,pinnacle,-160.0,119.0,0.301,0.3107,Under,0.5095122173400092,,ev
2026-01-13,Leon Draisaitl,EDM,,ASSISTS,0.5,draftkings,-218.0,165.0,0.612,0.4337,Under,0.5007123812329548,,ev
2026-01-13,Nikita Kucherov,TBL,,ASSISTS,0.5,draftkings,-204.0,155.0,0.573,0.4161,Under,0.4889836950918139,,ev
2026-01-13,John Tavares,TOR,,SOG,1.5,draftkings,-154.0,120.0,3.893,0.9002,Over,0.4848231220690269,,ev
2026-01-13,Alexandre Texier,MTL,,POINTS,0.5,pinnacle,-107.0,-124.0,0.124,0.19,Under,0.4631370729478659,,ev
