date,player,team,opp,market,line,book,over_price,under_price,proj_lambda,p_over,side,ev,chosen_prob,source
2026-01-27,Morgan Barron,WPG,,BLOCKS,1.5,,,,1.8,0.416601,Over,0.0,0.416601,ev
2026-01-27,Barrett Hayton,UTA,,BLOCKS,1.5,,,,1.8,0.416936,Over,0.0,0.416936,ev
2026-01-27,Nick Schmaltz,UTA,,BLOCKS,2.5,,,,1.8,0.269094,Over,0.0,0.269094,ev
2026-01-27,Nick Schmaltz,UTA,,BLOCKS,1.5,,,,1.8,0.416936,Over,0.0,0.416936,ev
2026-01-27,JJ Peterka,UTA,,BLOCKS,3.5,,,,1.8,0.173231,Over,0.0,0.173231,ev
2026-01-27,JJ Peterka,UTA,,BLOCKS,2.5,,,,1.8,0.269094,Over,0.0,0.269094,ev
2026-01-27,JJ Peterka,UTA,,BLOCKS,1.5,,,,1.8,0.416936,Over,0.0,0.416936,ev
2026-01-27,Liam O'Brien,UTA,,BLOCKS,3.5,,,,1.8,0.173231,Over,0.0,0.173231,ev
2026-01-27,Liam O'Brien,UTA,,BLOCKS,2.5,,,,1.8,0.269094,Over,0.0,0.269094,ev
2026-01-27,Liam O'Brien,UTA,,BLOCKS,1.5,,,,1.8,0.416936,Over,0.0,0.416936,ev
2026-01-27,Jack McBain,UTA,,BLOCKS,3.5,,,,1.8,0.173231,Over,0.0,0.173231,ev
2026-01-27,Jack McBain,UTA,,BLOCKS,2.5,,,,1.8,0.269094,Over,0.0,0.269094,ev
2026-01-27,Jack McBain,UTA,,BLOCKS,1.5,,,,1.8,0.416936,Over,0.0,0.416936,ev
2026-01-27,Alexander Kerfoot,UTA,,BLOCKS,3.5,,,,1.8,0.173231,Over,0.0,0.173231,ev
2026-01-27,Alexander Kerfoot,UTA,,BLOCKS,2.5,,,,1.8,0.269094,Over,0.0,0.269094,ev
2026-01-27,Alexander Kerfoot,UTA,,BLOCKS,1.5,,,,1.8,0.416936,Over,0.0,0.416936,ev
2026-01-27,Clayton Keller,UTA,,BLOCKS,3.5,,,,1.8,0.173231,Over,0.0,0.173231,ev
2026-01-27,Clayton Keller,UTA,,BLOCKS,2.5,,,,1.8,0.269094,Over,0.0,0.269094,ev
2026-01-27,Clayton Keller,UTA,,BLOCKS,1.5,,,,1.8,0.416936,Over,0.0,0.416936,ev
2026-01-27,Cam Hebig,UTA,,BLOCKS,3.5,,,,1.8,0.173231,Over,0.0,0.173231,ev
2026-01-27,Cam Hebig,UTA,,BLOCKS,2.5,,,,1.8,0.269094,Over,0.0,0.269094,ev
2026-01-27,Cam Hebig,UTA,,BLOCKS,1.5,,,,1.8,0.416936,Over,0.0,0.416936,ev
2026-01-27,Barrett Hayton,UTA,,BLOCKS,3.5,,,,1.8,0.173231,Over,0.0,0.173231,ev
2026-01-27,Nick Schmaltz,UTA,,BLOCKS,3.5,,,,1.8,0.173231,Over,0.0,0.173231,ev
2026-01-27,Kevin Stenlund,UTA,,BLOCKS,1.5,,,,1.8,0.416936,Over,0.0,0.416936,ev
2026-01-27,Kevin Stenlund,UTA,,BLOCKS,2.5,,,,1.8,0.269094,Over,0.0,0.269094,ev
2026-01-27,Nick DeSimone,UTA,,BLOCKS,2.5,,,,1.8,0.269094,Over,0.0,0.269094,ev
2026-01-27,Olli Määttä,UTA,,BLOCKS,2.5,,,,1.8,0.269094,Over,0.0,0.269094,ev
2026-01-27,Olli Määttä,UTA,,BLOCKS,1.5,,,,1.8,0.416936,Over,0.0,0.416936,ev
2026-01-27,John Marino,UTA,,BLOCKS,3.5,,,,1.8,0.173231,Over,0.0,0.173231,ev
2026-01-27,John Marino,UTA,,BLOCKS,2.5,,,,1.8,0.269094,Over,0.0,0.269094,ev
2026-01-27,John Marino,UTA,,BLOCKS,1.5,,,,1.8,0.416936,Over,0.0,0.416936,ev
2026-01-27,Sean Durzi,UTA,,BLOCKS,3.5,,,,1.8,0.173231,Over,0.0,0.173231,ev
2026-01-27,Sean Durzi,UTA,,BLOCKS,2.5,,,,1.8,0.269094,Over,0.0,0.269094,ev
2026-01-27,Sean Durzi,UTA,,BLOCKS,1.5,,,,1.8,0.416936,Over,0.0,0.416936,ev
2026-01-27,Nick DeSimone,UTA,,BLOCKS,3.5,,,,1.8,0.173231,Over,0.0,0.173231,ev
2026-01-27,Nick DeSimone,UTA,,BLOCKS,1.5,,,,1.8,0.416936,Over,0.0,0.416936,ev
2026-01-27,Kevin Stenlund,UTA,,BLOCKS,3.5,,,,1.8,0.173231,Over,0.0,0.173231,ev
2026-01-27,Ian Cole,UTA,,BLOCKS,3.5,,,,1.8,0.173231,Over,0.0,0.173231,ev
2026-01-27,Ian Cole,UTA,,BLOCKS,2.5,,,,1.8,0.269094,Over,0.0,0.269094,ev
2026-01-27,Ian Cole,UTA,,BLOCKS,1.5,,,,1.8,0.416936,Over,0.0,0.416936,ev
2026-01-27,Kailer Yamamoto,UTA,,BLOCKS,3.5,,,,1.8,0.173231,Over,0.0,0.173231,ev
2026-01-27,Kailer Yamamoto,UTA,,BLOCKS,2.5,,,,1.8,0.269094,Over,0.0,0.269094,ev
2026-01-27,Kailer Yamamoto,UTA,,BLOCKS,1.5,,,,1.8,0.416936,Over,0.0,0.416936,ev
2026-01-27,Brandon Tanev,UTA,,BLOCKS,3.5,,,,1.8,0.173231,Over,0.0,0.173231,ev
2026-01-27,Brandon Tanev,UTA,,BLOCKS,2.5,,,,1.8,0.269094,Over,0.0,0.269094,ev
2026-01-27,Brandon Tanev,UTA,,BLOCKS,1.5,,,,1.8,0.416936,Over,0.0,0.416936,ev
