gamePk,date,home,away,shots_ev_home,shots_pp_home,shots_pk_home,shots_ev_away,shots_pp_away,shots_pk_away,goals_ev_home,goals_pp_home,goals_pk_home,goals_ev_away,goals_pp_away,goals_pk_away,blocks_ev_home,blocks_pp_home,blocks_pk_home,blocks_ev_away,blocks_pp_away,blocks_pk_away,saves_ev_home,saves_pp_home,saves_pk_home,saves_ev_away,saves_pp_away,saves_pk_away
2025020697,2026-01-10,Boston Bruins,New York Rangers,20,5,2,17,5,8,1,0,0,1,0,1,4,1,1,7,1,3,16,5,7,19,5,2
2025020698,2026-01-10,Pittsburgh Penguins,Calgary Flames,26,1,6,19,11,0,1,0,1,5,0,0,5,0,1,7,0,0,14,11,0,25,1,5
2025020699,2026-01-10,Colorado Avalanche,Columbus Blue Jackets,23,2,5,17,5,2,3,0,0,2,0,0,3,0,2,2,1,1,15,5,2,20,2,5
2025020700,2026-01-10,San Jose Sharks,Dallas Stars,22,2,0,23,1,2,1,0,0,1,0,0,3,0,0,3,0,0,22,1,2,21,2,0
2025020701,2026-01-10,Buffalo Sabres,Anaheim Ducks,21,0,3,24,9,0,3,0,0,0,1,0,5,0,4,2,1,0,24,8,0,18,0,3
2025020702,2026-01-10,Toronto Maple Leafs,Vancouver Canucks,24,4,0,26,1,1,4,1,0,5,0,0,8,0,0,6,0,0,21,1,1,20,3,0
2025020703,2026-01-10,Montréal Canadiens,Detroit Red Wings,17,6,3,24,8,0,4,0,0,5,2,0,6,0,5,2,1,0,19,6,0,13,6,3
2025020704,2026-01-10,Ottawa Senators,Florida Panthers,28,5,3,27,1,7,3,0,0,2,0,1,2,1,0,6,1,1,25,1,6,25,5,3
2025020705,2026-01-10,Philadelphia Flyers,Tampa Bay Lightning,28,0,0,35,0,0,1,0,0,4,0,0,10,0,0,6,0,0,31,0,0,27,0,0
2025020706,2026-01-10,Carolina Hurricanes,Seattle Kraken,26,0,0,27,0,0,2,0,0,2,0,0,10,0,0,7,0,0,25,0,0,24,0,0
2025020707,2026-01-10,Nashville Predators,Chicago Blackhawks,22,3,0,24,5,3,2,1,0,2,1,0,4,0,0,4,0,0,22,4,3,20,2,0
2025020708,2026-01-10,Minnesota Wild,New York Islanders,27,6,0,23,4,1,4,0,0,2,1,0,4,0,0,4,0,5,21,3,1,23,6,0
2025020709,2026-01-10,Edmonton Oilers,Los Angeles Kings,31,0,0,38,0,0,2,0,0,1,0,0,8,0,0,8,0,0,37,0,0,29,0,0
2025020710,2026-01-10,Vegas Golden Knights,St. Louis Blues,28,3,0,25,5,2,2,1,0,2,1,0,5,0,1,6,0,1,23,4,2,26,2,0
