gamePk,date,home,away,shots_ev_home,shots_pp_home,shots_pk_home,shots_ev_away,shots_pp_away,shots_pk_away,goals_ev_home,goals_pp_home,goals_pk_home,goals_ev_away,goals_pp_away,goals_pk_away,blocks_ev_home,blocks_pp_home,blocks_pk_home,blocks_ev_away,blocks_pp_away,blocks_pk_away,saves_ev_home,saves_pp_home,saves_pk_home,saves_ev_away,saves_pp_away,saves_pk_away
2025020588,2025-12-27,New York Islanders,New York Rangers,23,4,4,18,13,4,4,0,1,1,1,0,1,0,3,5,2,0,17,12,4,19,4,3
2025020589,2025-12-27,Buffalo Sabres,Boston Bruins,19,9,2,26,1,3,1,2,0,3,0,0,9,1,0,5,0,2,23,1,3,18,7,2
2025020590,2025-12-27,Toronto Maple Leafs,Ottawa Senators,23,3,0,36,0,1,3,0,0,6,0,0,8,0,0,8,0,0,30,0,1,20,3,0
2025020591,2025-12-27,Florida Panthers,Tampa Bay Lightning,17,5,2,21,3,6,1,0,1,0,0,1,8,1,0,4,0,3,21,3,5,16,5,1
2025020592,2025-12-27,New Jersey Devils,Washington Capitals,17,6,2,16,2,1,3,2,0,4,0,0,2,0,1,2,0,3,12,2,1,14,4,2
2025020593,2025-12-27,Carolina Hurricanes,Detroit Red Wings,22,0,1,21,2,0,1,0,0,1,0,0,5,0,0,2,0,0,20,2,0,21,0,1
2025020594,2025-12-27,Winnipeg Jets,Minnesota Wild,21,4,2,28,3,3,1,1,0,3,0,1,6,0,2,4,0,2,25,3,2,20,3,2
2025020595,2025-12-27,St. Louis Blues,Nashville Predators,30,5,0,19,0,2,1,0,0,2,0,0,6,0,0,3,0,1,17,0,2,29,5,0
2025020596,2025-12-27,Dallas Stars,Chicago Blackhawks,17,15,0,26,0,2,1,3,0,3,0,1,9,1,0,2,0,3,23,0,1,16,12,0
2025020597,2025-12-27,Los Angeles Kings,Anaheim Ducks,23,6,0,23,0,2,2,0,0,2,0,0,6,1,0,6,0,1,21,0,2,21,6,0
2025020598,2025-12-27,Calgary Flames,Edmonton Oilers,29,4,4,21,6,3,1,0,1,5,0,1,7,1,3,9,1,1,16,6,2,28,4,3
2025020599,2025-12-27,Vancouver Canucks,San Jose Sharks,23,1,1,16,0,0,3,0,0,2,0,0,3,0,0,3,0,1,14,0,0,20,1,1
2025020600,2025-12-27,Vegas Golden Knights,Colorado Avalanche,22,13,2,29,2,3,1,2,0,2,0,0,6,0,2,8,0,2,27,2,3,21,11,2
